CRIME_DATE,OFFENSE,LOCATION
2017-10-03,SEX OFFENSE,"SCHOOL, PRIVATE, GROUNDS"
2019-04-25,SEX OFFENSE,HOTEL/MOTEL
2018-12-26,INTERFERENCE WITH PUBLIC OFFICER,DRIVEWAY - RESIDENTIAL
2019-04-02,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2018-12-07,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2017-06-19,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-09-30,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-11-01,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2020-08-28,INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE - YARD (FRONT / BACK)
2020-12-22,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS
2020-02-17,SEX OFFENSE,TAXICAB
2018-05-17,HOMICIDE,NOT IDENTIFIED
2020-10-16,HOMICIDE,VESTIBULE
2017-07-24,HOMICIDE,YARD
2019-10-12,INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM
2018-12-03,HOMICIDE,NOT IDENTIFIED
2020-09-07,HOMICIDE,NOT IDENTIFIED
2019-11-22,SEX OFFENSE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"
2017-08-05,HOMICIDE,NOT IDENTIFIED
2017-09-27,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2019-06-03,STALKING,AIRPORT EXTERIOR - NON-SECURE AREA
2018-09-11,INTERFERENCE WITH PUBLIC OFFICER,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA
2018-01-22,HOMICIDE,NOT IDENTIFIED
2020-08-03,SEX OFFENSE,SCHOOL - PUBLIC BUILDING
2017-10-09,SEX OFFENSE,CTA BUS STOP
2019-05-19,SEX OFFENSE,HOTEL/MOTEL
2018-10-27,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2017-05-30,SEX OFFENSE,CTA BUS STOP
2018-03-01,INTERFERENCE WITH PUBLIC OFFICER,GOVERNMENT BUILDING/PROPERTY
2017-10-12,HOMICIDE,HOUSE
2019-01-15,INTIMIDATION,CHA APARTMENT
2019-06-17,KIDNAPPING,"SCHOOL, PRIVATE, BUILDING"
2018-05-24,CRIM SEXUAL ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"
2019-05-06,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2018-10-13,INTERFERENCE WITH PUBLIC OFFICER,VACANT LOT/LAND
2018-03-17,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-01-05,INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM
2020-10-17,SEX OFFENSE,SCHOOL - PRIVATE GROUNDS
2020-02-19,HOMICIDE,HOTEL
2019-12-09,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2017-02-15,HOMICIDE,HOUSE
2017-11-21,SEX OFFENSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2020-11-29,HOMICIDE,PARKING LOT
2019-08-03,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2017-06-13,ARSON,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2020-07-19,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-12-16,NON-CRIMINAL,VEHICLE - OTHER RIDE SERVICE
2020-01-24,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2018-05-18,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-06-18,CRIM SEXUAL ASSAULT,ABANDONED BUILDING
2017-09-15,SEX OFFENSE,DAY CARE CENTER
2017-10-18,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2018-09-29,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-06-19,CRIM SEXUAL ASSAULT,CTA STATION
2017-09-08,HOMICIDE,NOT IDENTIFIED
2020-07-28,INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP
2017-05-18,PROSTITUTION,HOTEL/MOTEL
2019-10-18,CRIM SEXUAL ASSAULT,COLLEGE/UNIVERSITY GROUNDS
2018-03-14,SEX OFFENSE,LIBRARY
2018-02-13,HOMICIDE,GOVERNMENT BUILDING
2020-09-20,HOMICIDE,PARKING LOT
2020-10-13,HOMICIDE,YARD
2019-10-01,PUBLIC INDECENCY,"SCHOOL, PUBLIC, GROUNDS"
2020-01-10,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-09-01,SEX OFFENSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2020-01-21,HOMICIDE,PORCH
2018-06-04,CRIMINAL SEXUAL ASSAULT,ABANDONED BUILDING
2019-10-02,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA
2017-05-25,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-10-15,HOMICIDE,NOT IDENTIFIED
2019-12-15,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2020-07-31,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-07-06,CRIM SEXUAL ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2020-03-02,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2020-05-18,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2020-09-07,INTERFERENCE WITH PUBLIC OFFICER,CHA PARKING LOT / GROUNDS
2020-08-28,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2017-08-24,HOMICIDE,VACANT LOT
2018-02-25,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2020-03-03,SEX OFFENSE,DAY CARE CENTER
2019-07-02,HOMICIDE,RAILROAD PROPERTY
2018-01-21,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-03-20,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2018-09-28,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2019-06-02,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2017-07-20,HOMICIDE,CTA PROPERTY
2017-12-10,NON-CRIMINAL,BANK
2018-10-16,PROSTITUTION,HOTEL/MOTEL
2019-12-25,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA
2019-04-16,HOMICIDE,PORCH
2018-10-13,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-06-02,NON-CRIMINAL,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2018-03-04,ARSON,CHA APARTMENT
2019-02-14,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2019-07-13,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2017-03-23,SEX OFFENSE,HOTEL/MOTEL
2018-08-22,SEX OFFENSE,CTA PLATFORM
2017-10-13,SEX OFFENSE,FEDERAL BUILDING
2017-06-21,SEX OFFENSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2017-06-20,SEX OFFENSE,CTA STATION
2019-07-02,STALKING,CTA STATION
2020-11-27,HOMICIDE,PORCH
2020-03-18,SEX OFFENSE,SCHOOL - PUBLIC BUILDING
2019-12-16,INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM
2018-01-31,INTIMIDATION,POLICE FACILITY/VEH PARKING LOT
2018-05-07,CONCEALED CARRY LICENSE VIOLATION,VACANT LOT/LAND
2019-06-16,INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP
2019-01-01,SEX OFFENSE,DAY CARE CENTER
2017-03-25,CONCEALED CARRY LICENSE VIOLATION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA
2018-12-02,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2017-08-20,HOMICIDE,NOT IDENTIFIED
2019-09-15,CRIMINAL SEXUAL ASSAULT,DAY CARE CENTER
2019-05-23,INTERFERENCE WITH PUBLIC OFFICER,SPORTS ARENA/STADIUM
2019-08-31,HOMICIDE,PORCH
2020-10-10,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-11-17,SEX OFFENSE,ABANDONED BUILDING
2019-11-01,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS"
2017-07-04,HOMICIDE,NOT IDENTIFIED
2017-11-19,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-02-25,SEX OFFENSE,TAXICAB
2020-06-21,ARSON,CHA APARTMENT
2017-01-11,STALKING,ATHLETIC CLUB
2018-07-05,HOMICIDE,RIVER BANK
2018-04-19,CRIMINAL SEXUAL ASSAULT,CTA PLATFORM
2017-12-17,HOMICIDE,DRIVEWAY
2017-05-15,INTERFERENCE WITH PUBLIC OFFICER,VACANT LOT/LAND
2020-05-31,ARSON,SAVINGS AND LOAN
2018-05-31,ARSON,ABANDONED BUILDING
2019-04-02,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2018-04-01,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2020-10-25,KIDNAPPING,POLICE FACILITY / VEHICLE PARKING LOT
2018-08-06,HOMICIDE,GAS STATION DRIVE/PROP.
2017-12-09,HOMICIDE,YARD
2017-11-05,HOMICIDE,HOUSE
2019-07-28,CONCEALED CARRY LICENSE VIOLATION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA
2017-07-31,HOMICIDE,NOT IDENTIFIED
2020-09-27,HOMICIDE,HOSPITAL
2019-04-28,INTIMIDATION,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2017-11-30,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2019-06-22,CRIMINAL SEXUAL ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)"
2019-07-08,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-08-14,CRIMINAL SEXUAL ASSAULT,RESIDENCE - PORCH / HALLWAY
2020-08-19,ARSON,RESIDENCE - PORCH / HALLWAY
2018-08-07,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2017-04-13,PROSTITUTION,HOTEL/MOTEL
2018-10-10,INTIMIDATION,FEDERAL BUILDING
2017-05-28,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2020-07-23,HOMICIDE,VACANT LOT
2020-10-20,SEX OFFENSE,NURSING / RETIREMENT HOME
2019-03-21,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2017-10-26,HOMICIDE,YARD
2019-10-30,INTERFERENCE WITH PUBLIC OFFICER,ABANDONED BUILDING
2020-11-05,HOMICIDE,BARBER SHOP/BEAUTY SALON
2020-01-08,INTERFERENCE WITH PUBLIC OFFICER,GOVERNMENT BUILDING/PROPERTY
2018-11-06,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-05-06,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2018-02-20,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2020-07-30,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2018-08-18,HOMICIDE,YARD
2018-05-03,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2020-11-30,HOMICIDE,PARKING LOT
2018-07-14,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-07-09,HOMICIDE,"CTA ""L"" PLATFORM"
2018-02-05,HOMICIDE,VACANT LOT
2020-09-14,SEX OFFENSE,VEHICLE - DELIVERY TRUCK
2019-04-13,CONCEALED CARRY LICENSE VIOLATION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA
2020-10-02,HOMICIDE,STAIRWELL
2018-05-04,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2019-09-10,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2017-08-07,GAMBLING,"SCHOOL, PUBLIC, GROUNDS"
2020-06-21,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-02-22,HOMICIDE,YARD
2017-11-10,NON-CRIMINAL,POLICE FACILITY/VEH PARKING LOT
2020-07-31,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2018-08-09,INTIMIDATION,GOVERNMENT BUILDING/PROPERTY
2020-05-24,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2019-02-11,INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM
2018-05-17,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2019-05-13,INTERFERENCE WITH PUBLIC OFFICER,VACANT LOT/LAND
2018-05-17,CRIM SEXUAL ASSAULT,NOT IDENTIFIED / BOAT / RV DEALERSHIP
2019-11-01,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2017-05-17,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2017-05-18,PROSTITUTION,HOTEL/MOTEL
2017-05-20,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-11-19,HOMICIDE,HOSPITAL
2020-03-02,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2017-01-31,SEX OFFENSE,AIRCRAFT
2018-05-10,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2020-10-06,HOMICIDE,NOT IDENTIFIED
2019-11-17,CRIMINAL SEXUAL ASSAULT,PARKING LOT / GARAGE (NON RESIDENTIAL)
2018-04-02,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-07-21,SEX OFFENSE,CTA PLATFORM
2017-10-07,INTERFERENCE WITH PUBLIC OFFICER,ABANDONED BUILDING
2017-07-31,NON-CRIMINAL,POLICE FACILITY/VEH PARKING LOT
2018-09-16,CRIM SEXUAL ASSAULT,VEHICLE-COMMERCIAL
2018-09-18,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-10-15,HOMICIDE,NOT IDENTIFIED
2020-07-15,SEX OFFENSE,RESIDENCE - PORCH / HALLWAY
2019-11-14,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2017-12-03,SEX OFFENSE,ATHLETIC CLUB
2020-09-06,HOMICIDE,HOUSE
2019-09-10,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2019-08-07,INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP
2018-10-01,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2019-12-14,ARSON,RESIDENCE - GARAGE
2017-11-16,KIDNAPPING,CTA BUS STOP
2020-01-23,SEX OFFENSE,CTA BUS
2019-01-21,SEX OFFENSE,CTA BUS
2017-01-25,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2019-10-22,SEX OFFENSE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"
2019-08-27,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2017-03-24,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2020-12-20,SEX OFFENSE,WAREHOUSE
2019-02-16,INTERFERENCE WITH PUBLIC OFFICER,HOSPITAL BUILDING/GROUNDS
2017-04-18,PROSTITUTION,HOTEL/MOTEL
2019-03-13,INTERFERENCE WITH PUBLIC OFFICER,CTA STATION
2019-08-14,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2020-03-17,PUBLIC INDECENCY,CTA BUS
2018-03-22,SEX OFFENSE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"
2019-08-21,CRIMINAL SEXUAL ASSAULT,AIRPORT PARKING LOT
2019-12-06,HOMICIDE,NOT IDENTIFIED
2019-11-26,SEX OFFENSE,SCHOOL - PRIVATE BUILDING
2018-07-28,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-09-30,ARSON,VACANT LOT / LAND
2017-10-12,HOMICIDE,NOT IDENTIFIED
2018-07-24,OBSCENITY,CTA BUS STOP
2017-10-14,CRIM SEXUAL ASSAULT,COLLEGE/UNIVERSITY GROUNDS
2017-06-19,CRIM SEXUAL ASSAULT,LAKEFRONT/WATERFRONT/RIVERBANK
2017-10-03,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-08-25,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-02-24,STALKING,HOSPITAL BUILDING/GROUNDS
2017-08-18,HOMICIDE,NOT IDENTIFIED
2020-02-12,SEX OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL)
2020-10-08,SEX OFFENSE,LAKEFRONT / WATERFRONT / RIVERBANK
2018-01-18,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-07-21,HUMAN TRAFFICKING,HOSPITAL BUILDING / GROUNDS
2018-07-03,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2020-11-09,HOMICIDE,HOUSE
2020-10-03,CRIMINAL SEXUAL ASSAULT,VACANT LOT / LAND
2018-08-03,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-07-11,HOMICIDE,YARD
2017-12-05,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS"
2020-12-23,SEX OFFENSE,ATHLETIC CLUB
2020-10-25,PROSTITUTION,PARKING LOT / GARAGE (NON RESIDENTIAL)
2018-05-14,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2020-06-16,SEX OFFENSE,NURSING / RETIREMENT HOME
2017-07-04,KIDNAPPING,VEHICLE-COMMERCIAL
2017-08-24,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-09-19,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2018-04-26,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-11-08,HOMICIDE,PARKING LOT
2020-10-29,ARSON,RESIDENCE - PORCH / HALLWAY
2017-01-09,HOMICIDE,NOT IDENTIFIED
2019-01-07,HOMICIDE,PARKING LOT
2017-11-02,HOMICIDE,NOT IDENTIFIED
2018-11-08,HOMICIDE,HOUSE
2020-04-08,HOMICIDE,NOT IDENTIFIED
2017-03-27,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS"
2018-11-01,GAMBLING,CTA BUS STOP
2020-08-14,HOMICIDE,NOT IDENTIFIED
2020-12-20,HOMICIDE,HOUSE
2017-07-03,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2019-08-02,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2017-05-11,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2017-04-30,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2020-01-04,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2019-08-24,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2018-04-25,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-01-01,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2017-02-22,HOMICIDE,GARAGE
2017-04-18,PROSTITUTION,HOTEL/MOTEL
2017-11-06,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-07-05,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-03-21,INTERFERENCE WITH PUBLIC OFFICER,ABANDONED BUILDING
2018-08-12,CRIM SEXUAL ASSAULT,DAY CARE CENTER
2018-06-27,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2020-07-23,ARSON,RESIDENCE - GARAGE
2017-10-01,ARSON,ABANDONED BUILDING
2017-11-13,HOMICIDE,HOUSE
2019-12-02,SEX OFFENSE,CTA BUS
2019-06-29,INTERFERENCE WITH PUBLIC OFFICER,CHA PARKING LOT/GROUNDS
2019-01-20,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-09-04,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2020-08-02,KIDNAPPING,PARKING LOT / GARAGE (NON RESIDENTIAL)
2018-07-18,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2019-11-08,INTERFERENCE WITH PUBLIC OFFICER,HOTEL/MOTEL
2020-09-15,SEX OFFENSE,SCHOOL - PRIVATE BUILDING
2019-08-06,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2018-12-13,KIDNAPPING,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"
2017-08-31,ARSON,VACANT LOT/LAND
2018-06-10,HOMICIDE,HOUSE
2020-07-16,HOMICIDE,RETAIL STORE
2019-06-06,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS"
2018-07-01,HOMICIDE,NOT IDENTIFIED
2018-11-24,INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM
2020-11-29,HOMICIDE,PORCH
2019-08-06,INTERFERENCE WITH PUBLIC OFFICER,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2017-02-17,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2019-03-01,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-11-24,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2017-11-04,SEX OFFENSE,HOTEL/MOTEL
2019-03-09,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2018-07-21,HOMICIDE,NOT IDENTIFIED
2018-07-26,OBSCENITY,ATHLETIC CLUB
2018-03-06,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-04-05,HOMICIDE,CLUB
2018-11-07,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-11-04,CRIMINAL SEXUAL ASSAULT,RESIDENCE - PORCH / HALLWAY
2019-02-22,INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM
2019-01-12,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2018-09-14,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2018-03-03,HUMAN TRAFFICKING,HOTEL/MOTEL
2020-11-05,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2018-04-25,LIQUOR LAW VIOLATION,CTA PLATFORM
2019-09-13,ARSON,SCHOOL - PUBLIC BUILDING
2018-05-25,CRIM SEXUAL ASSAULT,DAY CARE CENTER
2017-07-28,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2019-06-13,HOMICIDE,RETAIL STORE
2017-01-21,SEX OFFENSE,VEHICLE - OTHER RIDE SERVICE
2020-11-02,HOMICIDE,GAS STATION DRIVE/PROP.
2020-04-28,INTIMIDATION,PARKING LOT / GARAGE (NON RESIDENTIAL)
2019-04-27,KIDNAPPING,CTA BUS STOP
2018-02-02,HOMICIDE,HOTEL
2018-08-20,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-10-18,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2018-03-17,HOMICIDE,YARD
2017-02-26,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-08-13,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2019-09-17,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2018-03-17,CRIM SEXUAL ASSAULT,ABANDONED BUILDING
2020-07-25,ARSON,RESIDENCE - GARAGE
2018-08-18,HOMICIDE,YARD
2019-12-17,INTIMIDATION,GOVERNMENT BUILDING/PROPERTY
2018-03-07,SEX OFFENSE,CTA BUS STOP
2018-10-27,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-01-02,CONCEALED CARRY LICENSE VIOLATION,VEHICLE-COMMERCIAL
2017-06-16,NON-CRIMINAL,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2018-10-19,NON-CRIMINAL,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2017-07-31,SEX OFFENSE,LIBRARY
2020-10-16,SEX OFFENSE,VEHICLE - COMMERCIAL
2019-08-05,INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP
2018-10-13,CRIM SEXUAL ASSAULT,CTA STATION
2018-05-01,SEX OFFENSE,HOTEL / MOTEL
2017-02-18,HOMICIDE,NOT IDENTIFIED
2018-12-27,SEX OFFENSE,WAREHOUSE
2017-02-19,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2019-01-24,CRIM SEXUAL ASSAULT,CHA APARTMENT
2018-02-17,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2017-06-20,SEX OFFENSE,CTA STATION
2019-03-26,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2018-06-12,HOMICIDE,GARAGE
2019-06-11,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2018-01-19,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2020-08-28,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2019-09-22,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-09-28,HUMAN TRAFFICKING,BARBERSHOP
2019-12-11,ARSON,RESIDENCE - PORCH / HALLWAY
2019-06-23,CRIM SEXUAL ASSAULT,VACANT LOT/LAND
2018-04-09,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2017-03-05,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-02-21,SEX OFFENSE,CTA BUS STOP
2017-11-23,ARSON,BRIDGE
2018-05-05,ARSON,BARBERSHOP
2018-09-04,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-08-15,SEX OFFENSE,CTA PLATFORM
2018-09-08,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-08-23,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-04-13,SEX OFFENSE,OTHER RAILROAD PROP / TRAIN DEPOT
2020-11-03,ARSON,RESIDENCE - GARAGE
2020-10-20,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS
2018-05-24,SEX OFFENSE,DAY CARE CENTER
2017-11-11,CRIM SEXUAL ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"
2020-08-22,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2017-04-24,CRIM SEXUAL ASSAULT,"SCHOOL, PRIVATE, BUILDING"
2018-07-31,INTERFERENCE WITH PUBLIC OFFICER,CTA PLATFORM
2018-10-11,SEX OFFENSE,LIBRARY
2018-09-05,CRIM SEXUAL ASSAULT,COLLEGE/UNIVERSITY RESIDENCE HALL
2018-05-08,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-02-18,CRIM SEXUAL ASSAULT,NOT IDENTIFIED / BOAT / RV DEALERSHIP
2018-03-11,ARSON,HOTEL/MOTEL
2019-10-22,HOMICIDE,YARD
2017-01-19,HOMICIDE,HOUSE
2018-02-24,CRIMINAL SEXUAL ASSAULT,DAY CARE CENTER
2019-05-31,SEX OFFENSE,AIRCRAFT
2020-11-16,CRIMINAL SEXUAL ASSAULT,TAVERN / LIQUOR STORE
2020-04-24,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS
2020-06-29,HOMICIDE,MOTEL
2019-07-05,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
