CRIME_DATE,OFFENSE,LOCATION
2020-08-25,ARSON,DRIVEWAY - RESIDENTIAL
2018-04-01,HOMICIDE,PORCH
2019-04-21,KIDNAPPING,POLICE FACILITY/VEH PARKING LOT
2017-07-24,ARSON,WAREHOUSE
2019-09-20,SEX OFFENSE,CHA APARTMENT
2020-06-13,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS
2020-07-01,HOMICIDE,CHA PARKING LOT
2020-10-01,SEX OFFENSE,SCHOOL - PRIVATE BUILDING
2017-01-21,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2019-10-27,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2018-10-31,SEX OFFENSE,SCHOOL - PRIVATE BUILDING
2018-09-10,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-11-28,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2019-06-01,HOMICIDE,NOT IDENTIFIED
2020-09-11,ARSON,TAVERN / LIQUOR STORE
2020-10-03,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2020-08-14,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2018-06-05,HOMICIDE,PARKING LOT
2018-06-12,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-04-09,CRIMINAL SEXUAL ASSAULT,VACANT LOT / LAND
2019-09-06,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2020-01-25,INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP
2019-03-17,SEX OFFENSE,CTA STATION
2018-09-01,SEX OFFENSE,SCHOOL - PRIVATE BUILDING
2018-06-24,HOMICIDE,GARAGE
2019-05-11,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-07-08,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-10-23,SEX OFFENSE,HOTEL/MOTEL
2019-09-01,SEX OFFENSE,DAY CARE CENTER
2019-07-05,HOMICIDE,PARKING LOT
2020-06-14,SEX OFFENSE,RESIDENCE - PORCH / HALLWAY
2017-05-24,SEX OFFENSE,CTA BUS
2018-04-28,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2020-04-07,HOMICIDE,"CTA ""L"" PLATFORM"
2018-12-22,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2019-06-10,SEX OFFENSE,VACANT LOT/LAND
2020-10-13,CONCEALED CARRY LICENSE VIOLATION,PARKING LOT / GARAGE (NON RESIDENTIAL)
2020-10-28,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2018-10-17,STALKING,CTA BUS STOP
2019-12-16,SEX OFFENSE,DAY CARE CENTER
2020-07-22,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2017-03-08,LIQUOR LAW VIOLATION,DRUG STORE
2018-06-14,HOMICIDE,LIQUOR STORE
2018-02-22,INTERFERENCE WITH PUBLIC OFFICER,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2017-03-05,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2018-06-29,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-05-08,CRIMINAL SEXUAL ASSAULT,RESIDENCE - YARD (FRONT / BACK)
2018-08-02,LIQUOR LAW VIOLATION,CTA STATION
2018-02-25,CRIM SEXUAL ASSAULT,TAXICAB
2018-08-13,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2019-09-01,CRIMINAL SEXUAL ASSAULT,SCHOOL - PRIVATE GROUNDS
2019-11-18,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-01-28,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-08-05,CRIM SEXUAL ASSAULT,ABANDONED BUILDING
2017-03-19,SEX OFFENSE,CTA PLATFORM
2017-09-01,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2019-08-23,ARSON,VACANT LOT/LAND
2017-02-12,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-09-18,SEX OFFENSE,ATHLETIC CLUB
2017-07-14,HOMICIDE,NOT IDENTIFIED
2017-03-12,CRIM SEXUAL ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2017-01-10,CRIM SEXUAL ASSAULT,DRIVEWAY - RESIDENTIAL
2018-04-07,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2019-07-09,SEX OFFENSE,BARBERSHOP
2019-05-25,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2020-11-04,SEX OFFENSE,BANK
2020-03-01,CRIMINAL SEXUAL ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)"
2017-04-17,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2019-02-27,STALKING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2019-02-22,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2018-05-09,ARSON,VEHICLE-COMMERCIAL
2020-08-16,LIQUOR LAW VIOLATION,BARBERSHOP
2018-11-19,HOMICIDE,HOSPITAL
2018-01-17,CRIM SEXUAL ASSAULT,"SCHOOL, PRIVATE, BUILDING"
2018-07-20,SEX OFFENSE,FIRE STATION
2018-06-03,CRIMINAL SEXUAL ASSAULT,RESIDENCE - YARD (FRONT / BACK)
2019-11-28,HOMICIDE,NOT IDENTIFIED
2020-03-27,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2018-07-09,INTIMIDATION,GOVERNMENT BUILDING/PROPERTY
2019-04-07,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2020-12-27,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2018-03-13,HOMICIDE,HALLWAY
2020-09-13,HOMICIDE,NOT IDENTIFIED
2019-03-11,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2018-05-10,KIDNAPPING,CTA BUS STOP
2020-06-27,SEX OFFENSE,CTA STATION
2018-05-31,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2017-04-26,CRIM SEXUAL ASSAULT,CTA BUS
2017-06-07,CRIM SEXUAL ASSAULT,ABANDONED BUILDING
2018-12-15,SEX OFFENSE,HOTEL/MOTEL
2020-10-23,INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP
2018-08-03,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-10-01,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS"
2018-03-29,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-08-09,CRIM SEXUAL ASSAULT,FOREST PRESERVE
2019-11-18,KIDNAPPING,CTA BUS STOP
2018-04-21,HOMICIDE,PORCH
2017-03-20,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2018-08-23,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-06-08,HOMICIDE,HOUSE
2020-03-17,SEX OFFENSE,NURSING / RETIREMENT HOME
2020-03-02,SEX OFFENSE,RESIDENCE - YARD (FRONT / BACK)
2019-11-21,INTERFERENCE WITH PUBLIC OFFICER,DRIVEWAY - RESIDENTIAL
2018-03-08,INTERFERENCE WITH PUBLIC OFFICER,VACANT LOT/LAND
2017-06-17,ARSON,ABANDONED BUILDING
2019-09-26,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2019-11-20,OBSCENITY,"SCHOOL, PRIVATE, BUILDING"
2020-07-21,HOMICIDE,CHA APARTMENT
2020-10-28,STALKING,RESIDENCE - PORCH / HALLWAY
2018-08-25,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2020-06-21,INTIMIDATION,RESIDENCE - GARAGE
2017-04-18,PROSTITUTION,HOTEL/MOTEL
2019-01-09,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-06-19,HOMICIDE,HOTEL
2020-01-26,HOMICIDE,NOT IDENTIFIED
2018-02-10,HOMICIDE,HOUSE
2020-04-28,HOMICIDE,PORCH
2017-09-28,CONCEALED CARRY LICENSE VIOLATION,AIRPORT EXTERIOR - NON-SECURE AREA
2017-06-27,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2020-05-02,SEX OFFENSE,CTA STATION
2019-07-15,CRIM SEXUAL ASSAULT,FOREST PRESERVE
2018-12-28,STALKING,"SCHOOL, PRIVATE, BUILDING"
2019-07-17,KIDNAPPING,HOSPITAL BUILDING/GROUNDS
2017-09-01,CRIM SEXUAL ASSAULT,COLLEGE/UNIVERSITY GROUNDS
2019-08-03,SEX OFFENSE,CHA HALLWAY/STAIRWELL/ELEVATOR
2020-02-09,CRIMINAL SEXUAL ASSAULT,SCHOOL - PRIVATE BUILDING
2017-09-20,SEX OFFENSE,HOTEL/MOTEL
2018-09-20,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2017-10-11,CRIM SEXUAL ASSAULT,MOVIE HOUSE/THEATER
2018-01-22,SEX OFFENSE,CTA STATION
2018-05-30,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2020-03-09,SEX OFFENSE,SCHOOL - PUBLIC BUILDING
2018-01-04,NON-CRIMINAL,POLICE FACILITY/VEH PARKING LOT
2019-09-13,SEX OFFENSE,SCHOOL - PUBLIC BUILDING
2019-07-06,HOMICIDE,PORCH
2017-11-22,ARSON,VACANT LOT / LAND
2020-06-24,CRIMINAL SEXUAL ASSAULT,GOVERNMENT BUILDING / PROPERTY
2017-11-28,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2017-01-27,STALKING,CTA BUS STOP
2017-07-06,HOMICIDE,NOT IDENTIFIED
2017-11-16,SEX OFFENSE,CTA STATION
2020-07-31,ARSON,RESIDENCE - PORCH / HALLWAY
2018-06-17,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2017-03-30,ARSON,NURSING HOME/RETIREMENT HOME
2020-03-10,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2018-05-16,SEX OFFENSE,CTA BUS STOP
2020-10-06,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2020-09-07,HOMICIDE,NOT IDENTIFIED
2020-07-08,INTIMIDATION,POLICE FACILITY / VEHICLE PARKING LOT
2019-05-10,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2019-10-28,INTERFERENCE WITH PUBLIC OFFICER,GOVERNMENT BUILDING/PROPERTY
2017-06-26,KIDNAPPING,DAY CARE CENTER
2018-02-12,INTERFERENCE WITH PUBLIC OFFICER,CTA GARAGE / OTHER PROPERTY
2018-01-20,NON-CRIMINAL,POLICE FACILITY/VEH PARKING LOT
2020-05-31,ARSON,PAWN SHOP
2017-03-06,HOMICIDE,NOT IDENTIFIED
2020-07-12,HOMICIDE,PARKING LOT
2020-01-03,HOMICIDE,RETAIL STORE
2018-08-31,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2017-02-22,INTIMIDATION,GOVERNMENT BUILDING/PROPERTY
2019-07-12,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2018-11-13,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-12-10,CRIM SEXUAL ASSAULT,CHA APARTMENT
2019-08-26,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2020-02-10,SEX OFFENSE,SCHOOL - PUBLIC BUILDING
2017-12-26,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-05-07,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-08-09,SEX OFFENSE,HOTEL/MOTEL
2020-08-21,SEX OFFENSE,DAY CARE CENTER
2019-12-09,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-10-10,SEX OFFENSE,HOTEL / MOTEL
2018-10-28,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-09-08,CRIMINAL SEXUAL ASSAULT,APPLIANCE STORE
2019-10-01,CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC BUILDING
2020-05-23,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2017-06-12,HOMICIDE,CAR WASH
2018-03-05,CRIM SEXUAL ASSAULT,"SCHOOL, PRIVATE, BUILDING"
2019-07-13,SEX OFFENSE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)"
2019-05-20,KIDNAPPING,"SCHOOL, PUBLIC, GROUNDS"
2018-07-18,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-11-19,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2020-01-30,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2019-11-27,ARSON,RESIDENCE - PORCH / HALLWAY
2017-01-31,CRIM SEXUAL ASSAULT,BARBERSHOP
2019-07-17,ARSON,RESIDENCE - GARAGE
2017-01-29,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2018-12-09,CRIM SEXUAL ASSAULT,POLICE FACILITY/VEH PARKING LOT
2020-11-26,HOMICIDE,YARD
2018-03-31,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-07-02,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-04-17,ARSON,ABANDONED BUILDING
2019-04-13,HOMICIDE,BARBER SHOP/BEAUTY SALON
2018-08-31,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS"
2019-04-04,LIQUOR LAW VIOLATION,CHA HALLWAY/STAIRWELL/ELEVATOR
2019-11-08,KIDNAPPING,OTHER RAILROAD PROP / TRAIN DEPOT
2017-06-27,INTIMIDATION,GOVERNMENT BUILDING/PROPERTY
2019-07-29,CRIM SEXUAL ASSAULT,BOAT/WATERCRAFT
2019-12-20,CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC BUILDING
2019-07-16,GAMBLING,"SCHOOL, PUBLIC, GROUNDS"
2020-09-13,ARSON,PARKING LOT / GARAGE (NON RESIDENTIAL)
2019-06-19,CRIM SEXUAL ASSAULT,BARBERSHOP
2020-08-27,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2018-06-11,CRIM SEXUAL ASSAULT,CHA APARTMENT
