"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","dewp","NUM_CRIMES"
"47",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,43.2,6.9,10,28.4,0.874213836477987
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,57.5,7.9,10,35.4,0.613207547169811
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,51.1,2.8,9.7,33.6,0.380503144654088
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,53,8,8.1,39.8,0.49685534591195
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,60.1,8.4,8.5,49.8,0.39622641509434
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,57.7,7.4,6,51.9,0.471698113207547
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,51.6,10.5,9.8,44.2,0.320754716981132
"54",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,39.4,12,7.1,36.7,0.336477987421384
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,29.3,12.6,8.7,21.6,0.144654088050314
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,32.3,11.1,10,17.2,0.0723270440251572
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,41.1,7,10,27.7,0.251572327044025
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,51.3,11.7,9.2,44.6,0.245283018867925
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,47.1,9.4,5.6,43.8,0.591194968553459
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2017,32,10.6,9.1,20.8,0.238993710691824
"61",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017,27.5,10.6,9.9,7.5,0.377358490566038
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2017,33.2,9.4,8.8,22.3,0.251572327044025
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017,41.4,12.8,10,28.8,0.342767295597484
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2017,54.8,16,10,46.9,0.408805031446541
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2017,55.1,20.4,9.7,40.9,0.405660377358491
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,46.3,18.9,10,20.1,0.358490566037736
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2017,39,7.6,10,19.4,0.386792452830189
"68",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017,31.8,11.8,10,7.7,0.355345911949686
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2017,24,8.7,10,-5,0.333333333333333
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017,26.5,4.7,10,3,0
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,23.5,10.9,10,7,0.169811320754717
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2017,29,5.5,10,10.9,0.361635220125786
"73",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017,38.2,8.1,7,30.1,0.490566037735849
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2017,42.3,11.9,9.6,32,0.380503144654088
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017,40.8,5.6,10,29.5,0.163522012578616
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2017,48.6,8.8,9.2,38.3,0.449685534591195
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2017,43.7,8.1,9.7,29,0.30503144654088
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,33.5,12.9,10,19.3,0.29559748427673
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2017,36.8,9.7,10,20.4,0.355345911949686
"80",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017,58.3,12.5,10,39.3,0.710691823899371
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2017,42.7,11.8,6.9,37.9,0.446540880503145
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2017,51.3,6.8,4.5,47.2,0.468553459119497
"83",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2017,50.4,6.1,5,46.8,0.531446540880503
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2017,43.8,9.3,9.9,36.6,0.377358490566038
