"","day","mo","temp","dewp","visib","wdsp","NUM_CRIMES"
"2",2,1,34,27.9,7.2,5.2,0.188679245283019
"3",3,1,38.2,36.9,2.4,5.9,0.518867924528302
"4",4,1,18.2,9,9.7,14.9,0.185534591194969
"5",5,1,9.3,-1.5,9.9,11.5,0.182389937106918
"6",6,1,4.4,-6.4,10,10.2,0.150943396226415
"7",7,1,6.5,-4.8,10,8,0.20440251572327
"8",1,1,9.2,-4.2,10,8.2,0.119496855345912
"9",2,1,21.5,10.5,9.7,11.1,0.50314465408805
"10",3,1,37.5,32.2,8.5,18,0.477987421383648
"11",4,1,31.6,26.3,8.3,12.1,0.345911949685535
"12",5,1,26.1,23.2,6,10.9,0.286163522012579
"13",6,1,19.9,9.7,10,8.5,0.773584905660377
"14",7,1,28.9,19.3,9.9,4.9,0.415094339622642
"15",1,1,26,17.5,9.6,2.4,0.323899371069182
"16",2,1,32.6,28.2,5.7,3.7,0.311320754716981
"17",3,1,37.2,36.2,4.2,7.4,0.477987421383648
"18",4,1,34.7,32.9,5.1,9.2,0.484276729559748
"19",5,1,35.8,33.4,4.2,5.7,0.581761006289308
"20",6,1,39,37.6,2.7,6.2,0.723270440251572
"21",7,1,48.2,44.3,4.6,7.2,0.732704402515723
"22",1,1,42.8,39.6,6.7,4.2,0.594339622641509
"23",2,1,39.4,36.1,8.3,7.9,0.742138364779874
"24",3,1,36.6,32.7,9.9,5.7,0.575471698113208
"25",4,1,37.2,34.3,5.2,9.6,0.613207547169811
"26",5,1,33.2,29.6,8.4,11.3,0.380503144654088
"27",6,1,27.8,20.6,9.8,12.4,0.726415094339623
"28",7,1,26.7,20.2,9.2,11,0.559748427672956
"29",1,1,26.8,16.5,9.2,8.9,0.254716981132075
"30",2,1,22.1,9.7,10,8.5,0.638364779874214
"31",3,1,36,29.3,9.6,13.6,0.569182389937107
"32",4,2,34.6,25.7,9.7,10.6,0.924528301886792
"33",5,2,20.6,6.9,10,12.1,0.371069182389937
"34",6,2,19.1,3.5,10,10.6,0.367924528301887
"35",7,2,21.6,5.5,10,8.6,0.267295597484277
"36",1,2,32.7,17.2,10,11,0.446540880503145
"37",2,2,33.5,26.3,9,4.9,0.657232704402516
"38",3,2,43.8,43.1,2.8,6.4,0.440251572327044
"39",4,2,30.7,23.1,8.9,10.6,0.355345911949686
"40",5,2,19,4.2,10,11.3,0.361635220125786
"41",6,2,25.7,13.5,10,12,0.60377358490566
"42",7,2,40.9,33.2,9.3,5,0.474842767295597
"43",1,2,39.3,28.8,9.4,12.9,0.393081761006289
"44",2,2,34.6,19.9,10,9.5,0.518867924528302
"45",3,2,39.7,26.4,10,10.9,0.50314465408805
"46",4,2,33.2,17.2,10,12.1,0.377358490566038
"47",5,2,33.4,12.8,10,7,0.371069182389937
"48",6,2,43.2,28.4,10,6.9,0.874213836477987
"49",7,2,57.5,35.4,10,7.9,0.613207547169811
"50",1,2,51.1,33.6,9.7,2.8,0.380503144654088
"51",2,2,53,39.8,8.1,8,0.49685534591195
"52",3,2,60.1,49.8,8.5,8.4,0.39622641509434
"53",4,2,57.7,51.9,6,7.4,0.471698113207547
"54",5,2,51.6,44.2,9.8,10.5,0.320754716981132
"55",6,2,39.4,36.7,7.1,12,0.336477987421384
"56",7,2,29.3,21.6,8.7,12.6,0.144654088050314
"57",1,2,32.3,17.2,10,11.1,0.0723270440251572
"58",2,2,41.1,27.7,10,7,0.251572327044025
"59",3,2,51.3,44.6,9.2,11.7,0.245283018867925
"60",4,3,47.1,43.8,5.6,9.4,0.591194968553459
"61",5,3,32,20.8,9.1,10.6,0.238993710691824
"62",6,3,27.5,7.5,9.9,10.6,0.377358490566038
"63",7,3,33.2,22.3,8.8,9.4,0.251572327044025
"64",1,3,41.4,28.8,10,12.8,0.342767295597484
"65",2,3,54.8,46.9,10,16,0.408805031446541
"66",3,3,55.1,40.9,9.7,20.4,0.405660377358491
"67",4,3,46.3,20.1,10,18.9,0.358490566037736
"68",5,3,39,19.4,10,7.6,0.386792452830189
"69",6,3,31.8,7.7,10,11.8,0.355345911949686
"70",7,3,24,-5,10,8.7,0.333333333333333
"71",1,3,26.5,3,10,4.7,0
"74",4,3,23.5,7,10,10.9,0.169811320754717
"75",5,3,29,10.9,10,5.5,0.361635220125786
"76",6,3,38.2,30.1,7,8.1,0.490566037735849
"77",7,3,42.3,32,9.6,11.9,0.380503144654088
"78",1,3,40.8,29.5,10,5.6,0.163522012578616
"79",2,3,48.6,38.3,9.2,8.8,0.449685534591195
"80",3,3,43.7,29,9.7,8.1,0.30503144654088
"81",4,3,33.5,19.3,10,12.9,0.29559748427673
"82",5,3,36.8,20.4,10,9.7,0.355345911949686
"83",6,3,58.3,39.3,10,12.5,0.710691823899371
"84",7,3,42.7,37.9,6.9,11.8,0.446540880503145
"85",1,3,51.3,47.2,4.5,6.8,0.468553459119497
"86",2,3,50.4,46.8,5,6.1,0.531446540880503
"87",3,3,43.8,36.6,9.9,9.3,0.377358490566038
"88",4,3,40.9,34.7,6.7,9,0.364779874213836
"89",5,3,43.3,39.1,6.8,12.1,0.433962264150943
"90",6,3,39.3,35.8,6,14.1,0.70440251572327
"91",7,4,44.6,26.3,10,5.8,0.874213836477987
"92",1,4,49.7,27.1,10,4.9,0.430817610062893
"93",2,4,50.4,39.7,8.9,6.2,0.452830188679245
"94",3,4,48.9,43.3,8,8.9,0.5
"95",4,4,44.8,39.3,6.9,9.9,0.251572327044025
"96",5,4,42.9,33.8,8.7,17.5,0.361635220125786
